# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
O,0.2186,115.66,1
O,0.3899,0,0
O,0.3899,34.355,0
O,0.7324,19.698,0
Ti,0.3281,78.609,0
O,0.5167,20.186,0
Ti,0.4274,52.49,1
O,0.4832,30.838,0
O,0.5785,21.537,0
Ti,0.6441,129.86,1
O,1.054,20.447,0
O,0.8599,68,0
O,1.303,40.091,1
O,1.521,30.121,1
O,0.8571,94.376,1
O,1.159,32.65,0
O,1.243,23.413,0
O,1.098,28.97,0
O,1.06,192.15,1
O,2.318,75.881,0
O,2.521,53.315,0
O,2.702,25.588,0
O,2.196,44.255,0
O,1.224,63.454,1
O,1.417,31.807,0
O,0.4367,315.28,1
O,1.6,34.482,0
Ti,1.744,114.03,0
O,2.019,27.929,0
O,1.901,76.255,0
O,2.301,20.285,0
Ti,1.208,41.372,0
O,1.289,22.879,0
Ti,0.8229,44.039,1
O,0.8773,22.953,0
Ti,1.001,84.155,1
O,0.973,31.833,0
O,0.2186,132.35,1
O,0.3064,0.032404,0
O,0.3064,130.32,0
O,0.7253,47.772,0
O,0.4261,276.76,1
O,1.223,37.896,0
Ti,1.505,91.391,0
O,1.779,28.342,0
O,1.262,46.495,0
O,0.6162,27.523,1
O,0.2186,249.32,1
O,0.3906,0,0
O,0.3906,158.9,0
O,1.253,79.081,0
O,0.5146,43.174,0
O,0.363,83.087,0
Ti,0.5701,47.685,0
O,0.7299,27.322,0
O,0.5873,123.43,1
O,0.8586,49.753,0
O,0.7594,46.192,1
Ti,0.2186,238.1,1
O,1.668,26.253,0
O,1.033,26.699,0
Ti,0.6031,46.846,0
O,0.7,22.699,0
Ti,0.4208,51.654,0
O,0.556,21.096,0
O,0.5165,23.34,0
O,0.36,85.645,1
O,0.4023,76.79,0
O,0.5625,19.697,0
O,0.2186,32.294,1
O,0.8601,35.847,1
O,0.9021,25.663,0
O,1.951,68.711,1
O,2.076,23.227,0
O,2.037,25.041,0
O,2.101,0,0
O,2.101,22.49,0
O,2.257,104.76,1
O,1.082,266.67,1
O,2.517,42.226,0
O,1.922,20.112,0
O,1.71,34.305,0
O,1.509,83.943,0
O,1.952,0,0
O,1.952,20.869,0
O,1.796,22.716,1
O,0.2186,70.384,1
O,0.2861,0,0
O,0.2861,68.384,0
O,0.5047,33.244,0
Ti,0.4311,394.66,1
Ti,0.2079,273.28,0
Ti,0.05654,188.42,0
O,0.3145,42.727,0
O,0.2678,32.084,0
O,0.1917,27.88,0
O,0.8437,69.985,1
O,0.9862,36.224,0
O,1.051,56.919,1
O,1.214,53.419,0
Ti,1.239,142.4,1
Ti,1.552,66.606,0
O,1.305,29.719,1
O,1.311,37.9,1
O,1.246,0,0
O,1.246,21.237,0
O,1.343,35.605,1
O,0.2186,163.42,1
O,1.461,0.3877,0
O,1.461,33.221,0
O,1.171,32.017,0
O,0.3864,21.012,0
O,0.6313,149.34,1
O,1.299,0,0
O,1.299,42.712,0
O,1.26,20.554,0
O,0.9234,38.513,0
O,1.346,0.77066,0
O,1.346,20.692,0
Ti,1.064,47.49,1
O,0.2186,36.808,1
O,0.3142,27.085,0
O,0.648,87.413,1
O,0.7612,28.846,0
Ti,0.8515,70,1
O,1.159,148.97,1
O,1.282,24.021,0
O,1.174,19.413,0
Ti,1.409,68.895,0
O,1.678,26.413,0
O,1.308,25.212,0
O,0.2186,47.359,1
O,0.3239,0,0
O,0.3239,45.354,0
Ti,0.4331,395.26,1
O,0.5207,33.437,0
O,0.5074,137.37,0
Ti,0.3963,71.714,0
O,0.3805,23.326,0
O,0.4286,26.986,0
Ti,0.4345,60.964,1
O,0.7025,34.26,0
O,0.6239,109.64,1
O,0.7324,71.431,0
O,0.7794,43.187,0
O,1.175,20.364,0
O,0.8169,20.769,1
O,1.019,177.85,1
O,1.836,38.723,0
Ti,1.337,44.865,1
O,0.2186,27.647,1
Ti,0.4349,220.53,1
O,1.548,43.029,0
Ti,1.364,46.432,0
O,1.199,22.217,0
O,1.02,20.612,0
O,0.8318,27.996,0
Ti,0.8499,54.258,1
O,0.8372,39.087,0
Ti,0.9927,70.937,1
Ti,1.073,46.785,0
O,1.173,26.008,0
Ti,0.8687,174.55,1
Ti,0.6147,62.606,0
O,0.8493,20.518,0
O,0.8907,49.531,0
O,1.048,36.423,1
O,1.253,30.427,1
O,1.467,72.946,1
O,1.677,42.815,1
O,2.008,29.38,0
O,0.6474,145.14,1
Ti,1.391,41.191,0
O,0.8441,169.61,1
O,1.248,50.885,0
O,1.165,91.558,0
O,1.694,25.556,0
O,1.315,30.4,0
Ti,1.285,52.717,1
O,1.244,25.94,0
Ti,0.4349,56.7,1
Ti,0.4696,45.883,0
Ti,0.8453,155.19,1
Ti,1.165,88.956,0
Ti,1.346,67.613,0
O,1.625,19.966,0
O,0.9185,21.271,0
O,1.176,81.846,1
O,1.332,19.802,0
O,1.307,64.278,1
O,1.392,48.051,0
Ti,1.496,53.555,1
Ti,0.2186,214.1,1
Ti,0.6215,90.691,0
O,0.8223,25.661,0
Ti,0.4153,102.5,0
O,0.5581,60.281,0
O,0.7283,19.962,0
O,0.5315,198.43,1
O,1.624,36.113,0
O,1.229,34.486,0
O,0.6423,57.262,1
O,0.8501,19.335,1
O,1.429,67.591,1
O,2.044,22.015,0
O,1.564,110.75,1
O,2.173,0,0
O,2.173,29.774,0
O,2.054,30.932,0
O,1.639,22.128,1
O,1.673,24.166,1
Ti,0.2186,50.187,1
O,0.6245,19.872,1
O,0.8201,45.753,1
O,1.164,208.08,1
O,1.614,48.141,0
O,1.758,34.701,0
Ti,1.465,117.94,0
Ti,2.062,41.928,0
O,2.252,30.193,0
O,1.64,46.925,0
O,1.782,29.367,0
O,1.28,35.681,1
O,1.593,23.04,1
O,0.4367,32.019,1
O,0.6499,60.724,1
O,1.029,0,0
O,1.029,25.286,0
O,0.8612,177.05,1
O,1.581,39.4,0
Ti,1.483,54.017,0
O,1.626,20.009,0
O,1.038,91.37,1
O,1.136,20.007,0
O,1.437,30.318,1
Ti,0.2186,223.36,1
O,1.005,28.903,0
Ti,0.8274,79.647,0
Ti,1.181,0.19782,0
Ti,1.181,50.621,0
Ti,0.4849,61.982,1
O,0.7449,90.019,1
O,0.6744,59.873,0
O,0.8893,21.739,1
O,0.4363,362.48,1
O,2.668,40.039,0
Ti,2.663,49.035,0
O,2.231,25.118,0
Ti,0.653,180.77,1
Ti,0.937,58.67,0
O,1.06,35.773,0
O,0.8107,79.701,0
Ti,0.9849,210.56,1
O,1.026,32.163,0
O,0.9959,73.457,0
O,0.9302,44.521,0
O,0.9311,32.694,0
O,1.118,19.891,0
Ti,1.036,73.521,0
O,1.073,29.74,0
O,0.6542,55.56,1
Ti,1.075,39.334,1
O,1.252,128.62,1
O,1.941,19.632,0
O,1.642,51.509,0
O,1.534,24.199,1
O,1.701,46.809,1
Ti,0.2186,243.23,1
O,0.3944,88.065,0
O,1.025,19.819,0
O,0.3391,119.05,0
O,0.4707,57.067,0
O,0.5801,35.85,0
Ti,0.3606,40.221,1
O,0.4181,108.91,1
O,0.3427,39.947,0
Ti,0.5131,48.383,0
Ti,0.4072,40.471,1
O,0.3576,48.467,1
O,0.3096,21.662,0
Ti,0.2186,73.758,1
Ti,0.394,50.805,0
O,0.564,20.981,0
O,0.619,73.262,1
O,0.904,25.06,0
O,1.013,65.396,1
O,1.228,129.29,1
O,2.029,29.112,0
O,1.947,42.449,0
O,2.093,19.693,0
O,1.602,21.484,0
O,1.414,33.447,1
O,1.58,0.43007,0
O,1.58,19.111,0
O,1.581,20.232,1
Ti,0.4271,264.84,1
O,0.9825,19.743,0
O,0.7991,159.96,0
O,1.575,27.197,0
O,1.469,23.036,0
Ti,1.283,39.46,0
O,1.183,27.843,0
O,0.4931,119.47,1
O,1.105,20.356,0
O,0.9337,55.121,0
O,0.4253,26.791,1
O,0.4209,20.739,0
O,0.4109,0,0
O,0.4109,20.739,0
O,0.4364,271.66,1
O,0.9693,54.594,0
O,0.9195,101.72,0
O,1.183,44.508,0
O,1.621,0.4392,0
O,1.621,19.832,0
O,0.5694,24.076,0
O,0.6431,168.92,1
O,1.458,106.74,0
O,1.849,64.144,0
Ti,0.2186,295.18,1
O,0.2171,32.973,0
O,0.2723,0,0
O,0.2723,32.06,0
O,0.1885,24.495,0
Ti,0.1599,129.75,0
O,0.003813,50.318,0
O,0.1019,34.403,0
O,0.05987,26.326,0
O,1e-05,0,0
O,1e-05,25.128,0
O,0.212,60.872,0
O,0.2079,50.223,0
O,0.3386,45.964,1
Ti,0.4483,64.843,1
O,0.538,44.894,0
O,0.7163,29.498,0
O,0.8849,20.235,0
O,0.8539,44.817,1
Ti,0.2186,103.66,1
O,0.3676,33.83,0
O,0.3388,24.193,0
O,0.3742,20.552,0
O,0.2952,19.741,0
O,0.584,23.096,1
O,0.8984,135.03,1
Ti,1.274,64.697,0
Ti,1.436,60.546,0
O,1.025,49.981,1
O,1.194,32.136,0
O,1.157,24.02,1
O,1.122,0.018027,0
O,1.122,19.456,0
O,0.436,74.171,1
O,0.5022,65.317,0
Ti,0.6524,59.53,1
O,0.6835,44.549,0
O,0.885,29.491,0
Ti,1.057,100.01,1
O,1.128,68.041,0
Ti,1.266,57.756,1
Ti,1.389,53.486,0
O,1.585,29.304,0
Ti,1.421,115.18,1
O,1.459,64.849,0
O,0.2186,29.305,1
O,0.6318,179.24,1
O,0.9579,77.098,0
O,1.56,28.097,0
O,1.197,66.778,1
O,1.445,35.871,0
