# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
C,0.4303,0,0
C,0.4303,56.173,0
C,0.4277,25.24,1
C,0.2181,50.782,1
C,0.2181,49.688,1
C,0.4244,27.224,0
C,0.2181,43.111,1
C,0.4173,25.453,1
Si,0.4313,47.328,1
Si,0.4176,60.247,1
C,0.5849,25.802,1
C,0.4306,26.55,1
Si,0.2181,75.811,1
C,0.2181,56.817,1
Si,0.3777,41.18,0
Si,0.2181,77.711,1
C,0.3118,60.102,0
C,0.4923,25.939,0
Si,0.2181,74.413,1
Si,0.2988,61.944,0
C,0.4176,39.001,1
Si,0.2181,88.359,1
Si,0.3275,58.241,0
C,0.8505,32.111,1
Si,0.4304,70.152,1
Si,0.2181,58.241,1
C,0.4013,30.978,0
C,0.2181,38.091,1
C,0.4127,27.526,0
Si,0.2181,95.598,1
Si,0.2181,80.347,1
C,0.7907,26.322,1
C,0.2181,59.68,1
Si,0.4173,44.192,0
Si,0.6239,0.4955,0
Si,0.6239,43.696,0
Si,0.2181,75.734,1
Si,0.4277,58.388,0
C,0.4308,25.312,1
Si,0.641,45.114,1
Si,0.433,70.4,1
C,0.2181,25.851,1
C,0.2181,35.352,1
Si,0.4304,61.73,1
C,0.7624,31.012,0
Si,0.2181,55.334,1
C,0.4227,30.657,0
C,0.2181,41.649,1
C,0.346,38.387,0
C,0.651,30.255,1
C,0.8561,26.611,1
Si,0.2181,69.124,1
C,0.3045,48.082,0
Si,0.5936,47.571,1
Si,0.2181,51.451,1
Si,0.298,0,0
Si,0.298,46.415,0
Si,0.4299,54.78,1
C,0.2181,60.973,1
C,0.392,0,0
C,0.392,58.928,0
C,0.4129,42.484,1
Si,0.4331,45.474,1
C,0.432,48.377,1
Si,0.2181,53.94,1
Si,0.2181,65.265,1
Si,0.3613,54.031,0
C,0.6224,33.677,1
C,0.2181,47.53,1
C,0.2181,34.19,1
C,0.2181,51.27,1
C,0.4276,43.767,0
C,0.2181,51.238,1
Si,0.4299,62.301,1
Si,0.5716,45.085,0
Si,0.2181,73.71,1
Si,0.4302,40.726,1
Si,0.2181,66.704,1
C,0.307,41.28,0
C,0.2181,58.317,1
C,0.3827,0,0
C,0.3827,52.702,0
Si,0.2181,68.943,1
C,0.433,38.577,0
C,0.2181,46.571,1
Si,0.4261,44.949,1
Si,0.4312,41.433,1
Si,0.2181,81.605,1
C,0.4132,46.733,0
Si,0.2181,59.497,1
C,0.272,49.863,0
C,0.7033,0,0
C,0.7033,44.064,0
C,0.9144,0.72489,0
C,0.9144,36.569,0
Si,0.2181,47.685,1
C,0.2181,27.563,1
Si,0.432,66.689,1
C,0.9361,28.503,0
C,0.2181,47.753,1
C,0.3729,0,0
C,0.3729,45.642,0
C,0.5904,31.166,0
C,0.4261,31.478,1
Si,0.2181,77.894,1
Si,0.4308,63.839,1
C,0.2181,31.995,1
C,0.2181,52.204,1
C,0.3858,40.652,0
C,0.5703,26.297,0
Si,0.2181,52.4,1
C,0.2181,46.181,1
C,0.2181,33.204,1
C,0.427,25.375,1
C,0.2181,39.865,1
C,0.4066,0,0
C,0.4066,36.267,0
Si,0.2181,90.844,1
C,0.5666,29.142,0
Si,0.2181,92.391,1
C,0.3741,66.497,0
Si,0.4112,41,1
C,0.4257,55.424,1
C,0.4311,51.136,1
C,0.2181,26.56,1
C,0.2181,52.971,1
C,0.4238,46.072,1
Si,0.638,68.559,1
Si,0.4323,61.39,1
Si,0.5432,46.094,0
Si,0.4085,43.028,1
Si,0.4292,43.335,1
C,0.4045,25.677,1
C,0.433,45.972,1
Si,0.2181,50.164,1
Si,0.4049,42.455,0
C,0.2181,68.857,1
C,0.4336,0,0
C,0.4336,65.651,0
C,0.2181,64.353,1
C,0.4091,0,0
C,0.4091,35.642,0
Si,0.2181,53.944,1
C,0.4172,34.119,0
Si,0.6254,42.193,1
Si,0.2181,85.235,1
C,0.4,38.441,0
C,0.5458,25.939,0
C,0.4259,27.566,1
Si,0.2181,58.949,1
C,0.2181,62.263,1
Si,0.2181,82.402,1
C,0.412,56.872,0
C,0.2181,57.983,1
Si,0.433,42.286,1
Si,0.2181,49.942,1
C,0.4329,40.889,0
C,0.6482,0.84963,0
C,0.6482,40.039,0
Si,0.4324,61.659,1
C,0.2181,27.67,1
C,0.4079,25.702,1
Si,0.2181,90.394,1
C,0.3407,75.19,0
C,0.2181,33.07,1
C,0.6359,43.812,1
Si,0.4286,45.698,1
Si,0.2181,63.627,1
Si,0.6304,53.957,1
C,0.7496,35.933,0
Si,0.2181,67.127,1
Si,0.3462,44.012,0
Si,0.2181,64.321,1
C,0.346,37.349,0
C,0.4079,26.023,1
Si,0.4318,58.282,1
