# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Si,0.4358,252.93,1
C,0.7611,40.349,0
Si,0.61,100.77,1
C,0.7263,37.161,0
Si,0.7368,94.504,1
C,0.8369,26.511,0
Si,0.4358,350.83,1
C,1.159,30.223,0
C,1.046,46.69,0
Si,0.9635,144.34,0
Si,1.155,88.047,0
Si,0.7027,77.241,1
Si,0.7419,59.62,0
Si,0.433,136.33,1
Si,0.7229,45.501,0
C,0.5832,38.196,0
C,0.794,32.597,1
Si,0.9458,62.209,1
Si,1.325,123.3,1
C,1.744,74.255,0
Si,0.4353,119.06,1
Si,0.6071,50.931,0
Si,0.8454,118.68,1
Si,1.044,43.88,0
Si,1.112,112.84,1
C,1.29,30.05,1
C,0.2181,63.259,1
C,0.8491,26.417,1
C,1.043,56.251,1
Si,1.406,42.919,1
C,1.609,32.365,1
Si,2.223,50.527,1
C,2.49,31.292,0
C,0.4357,96.756,1
Si,0.5187,56.984,0
C,1.938,50.225,1
C,2.065,112.49,1
Si,2.471,47.533,0
C,2.346,27.84,0
Si,0.2181,63.684,1
C,0.4253,43.429,0
C,0.6367,128.15,1
C,0.9313,90.037,0
Si,1.685,57.675,1
C,1.949,29.235,0
C,1.845,27.778,1
C,0.2181,296.59,1
Si,0.4135,233.21,0
C,1.38,41.186,0
Si,1.174,65.327,0
C,0.6239,35.353,0
Si,0.429,103.42,1
C,0.8557,67.044,0
C,0.2181,342.84,1
C,1.722,38.231,0
C,0.8275,42.19,0
C,0.6475,55.052,1
C,0.4336,64.261,1
Si,0.8556,159.04,1
C,1.245,54.612,0
Si,1.185,64.801,0
C,1.469,26.833,0
C,1.013,89.276,1
Si,0.2181,104.42,1
Si,0.6349,45.356,1
Si,0.8335,117.38,1
C,0.9438,51.952,0
Si,1.255,51.741,1
Si,1.421,55.818,1
Si,0.6444,104.06,1
C,0.7894,53.502,0
Si,0.823,272.45,1
Si,1.083,61.632,0
C,1.095,27.077,0
C,0.9949,42.671,0
C,0.4357,59.572,1
C,0.8683,34.515,1
Si,1.297,247.44,1
C,1.554,94.993,0
C,1.474,44.544,1
C,0.2181,43.715,1
C,0.2667,0,0
C,0.2667,40.584,0
Si,0.4333,132.97,1
Si,0.2181,240.2,1
C,0.1765,31.676,0
C,0.09894,0,0
C,0.09894,29.661,0
C,0.219,85.871,0
Si,0.1001,53.95,0
C,0.005578,40.112,0
Si,0.2628,54.06,0
Si,0.2457,0,0
Si,0.2457,53.844,0
Si,0.07653,43.872,0
Si,0.2896,52.626,0
C,0.7963,25.609,1
Si,0.9611,52.412,1
C,1.135,26.893,0
C,0.2181,129.85,1
C,0.3221,52.155,0
C,0.4024,0,0
C,0.4024,51.767,0
C,0.639,106.02,1
C,1.597,35.533,0
C,0.8359,79.111,1
Si,0.9826,47.889,0
C,0.2181,30.14,1
Si,0.651,137.47,1
C,0.8751,34.369,0
Si,0.7983,43.579,0
Si,1.667,47.889,1
C,0.2181,40.722,1
C,0.8651,62.72,1
C,1.185,29.704,0
Si,1.486,43.7,1
C,1.659,69.214,1
C,1.684,32.262,0
C,1.858,32.771,1
C,0.2181,80.151,1
C,0.3553,76.258,0
C,0.5668,26.478,0
Si,0.4313,186.01,1
Si,0.7607,109.27,0
C,0.9311,66.874,0
C,0.5974,90.372,1
Si,0.7175,43.84,1
C,0.8986,45.991,1
C,0.2181,142.83,1
C,0.2415,79.937,0
Si,0.1176,60.846,0
C,0.4279,32.979,1
Si,0.6257,103.47,1
C,1.216,26.24,1
Si,1.337,58.899,1
C,0.2181,323.52,1
C,0.9913,48.574,0
C,0.4181,72.16,0
C,0.4307,42.575,1
Si,0.2181,245.15,1
Si,0.4543,73.643,0
Si,0.8175,0,0
Si,0.8175,43.778,0
Si,0.2872,116.55,0
C,0.3501,53.047,0
C,0.4155,28.201,0
Si,0.5768,119.81,1
C,0.769,45.702,1
Si,0.2181,171.74,1
C,0.2735,85.312,0
C,0.3373,64.089,0
C,0.4361,43.77,0
Si,0.4074,150.47,1
C,0.6634,75.848,0
C,0.5051,44.685,0
Si,0.5785,127.63,1
C,0.8631,90.774,1
C,1.278,63.253,1
C,1.782,65.734,1
C,1.82,38.864,0
Si,1.964,101.52,1
C,2.437,55.175,0
Si,0.4357,170.02,1
Si,0.8226,132.73,0
C,1.224,78.3,0
Si,0.7934,48.24,1
C,0.9591,144.89,1
C,1.522,70.194,0
Si,1.115,41.011,0
Si,1.105,79.676,1
C,1.191,50.803,0
C,1.316,40.302,0
C,0.2181,74.544,1
C,1.067,32.635,1
Si,1.495,113.97,1
Si,1.625,69.624,0
Si,1.689,46.719,0
C,0.4338,211.26,1
Si,0.6841,73.645,0
Si,0.3999,48.003,0
Si,0.2196,42.513,0
Si,0.8878,84.495,0
C,1.204,30.398,0
Si,0.6469,101.48,1
C,0.7995,61.775,1
C,0.4356,101.1,1
C,1.129,52.435,0
C,0.643,95.424,1
C,0.8262,38.176,0
C,1.17,92.683,1
Si,1.448,46.741,1
C,0.8622,82.828,1
C,0.9632,26.082,0
Si,1.076,157.31,1
Si,1.485,68.224,0
C,1.65,46.899,0
C,0.4354,218.33,1
Si,1.524,103.34,0
Si,1.942,63.486,0
C,1.739,25.437,0
C,0.7072,56.283,0
C,0.648,55.771,1
C,0.8436,90.786,1
Si,0.2181,47.656,1
Si,0.6412,53.415,1
C,0.9029,29.118,0
Si,1.231,162.2,1
C,1.336,119.74,0
C,2.074,41.468,0
C,1.752,45.915,1
C,0.4342,160.46,1
Si,1.089,41.838,0
Si,0.6339,66.299,1
C,0.7089,34.699,0
C,1.064,38.616,1
Si,1.482,81.074,1
C,1.661,44.309,0
Si,0.2181,185.93,1
C,0.5597,31.817,0
Si,0.4211,100.82,0
C,0.9402,25.289,0
C,0.5854,56.552,1
C,0.7385,45.978,1
Si,0.8543,120.83,1
C,0.9067,54.186,0
C,0.2181,223.27,1
Si,1.063,116.26,0
Si,1.615,43.137,0
C,0.5441,45.199,0
Si,0.8529,72.161,1
Si,1.112,49.977,0
C,1.037,49.662,1
C,0.4345,63.394,1
C,0.5166,46.087,0
Si,1.061,40.853,1
Si,1.278,67.286,1
C,2.257,29.536,1
C,2.401,61.638,1
C,0.2181,166.67,1
C,0.3785,161.06,0
Si,0.5922,110.96,0
C,1.088,34.204,0
Si,0.4273,142.78,1
Si,0.526,72.102,0
Si,0.8064,47.754,1
C,1.157,26.559,1
C,0.4355,40.557,1
C,1.517,28.838,1
Si,1.731,154.51,1
Si,2.001,55.785,0
C,2.288,34.4,0
C,1.896,87.195,0
Si,1.897,56.75,1
C,0.2181,160.49,1
C,0.1881,0.42952,0
C,0.1881,29.82,0
Si,0.4038,128.25,0
Si,0.8277,55.063,0
Si,0.9871,41.629,0
C,0.6165,28.294,0
C,0.4275,154.1,1
Si,1.044,46.498,0
C,0.6093,95.094,1
Si,0.5468,52.325,0
Si,0.4323,90.989,1
Si,0.5818,0,0
Si,0.5818,70.141,0
C,0.9652,25.087,0
Si,1.246,58.118,1
C,1.451,38.193,0
C,1.544,75.825,1
C,1.73,50.873,1
C,1.9,28.381,0
Si,0.2181,45.661,1
C,0.3373,36.319,0
C,0.4288,222.41,1
Si,1.362,85.848,0
Si,1.521,53.091,0
Si,1.669,45.047,0
Si,0.6139,174.64,1
Si,0.8863,46.64,0
C,0.8906,51.854,0
C,0.995,28.636,0
Si,0.2181,150.39,1
C,0.3039,37.222,0
C,0.3067,85.781,0
C,0.4178,53.97,0
C,0.4121,81.701,1
C,0.8803,26.991,0
C,0.5841,57.663,1
Si,0.7264,173.02,1
Si,0.9003,157.45,0
Si,1.535,42.859,0
C,1.103,67.395,0
C,0.2181,57.452,1
Si,0.6506,216.96,1
C,1.436,63.932,0
Si,1.582,48.606,0
C,1.276,27.329,0
C,1.081,35.125,0
Si,1.011,112.15,1
C,1.356,31.728,0
Si,0.2181,419.72,1
Si,0.5598,290.91,0
Si,1.455,90.975,0
Si,1.342,99.168,0
C,0.3907,94.821,0
C,0.4338,84.806,1
Si,0.7282,46.98,0
Si,0.8319,190.03,1
Si,1.376,42.057,0
Si,1.367,70.984,0
C,1.905,78.18,1
Si,2.114,94.236,1
Si,2.327,75.122,0
C,2.707,33.183,0
Si,2.441,56.586,1
Si,0.4337,138.54,1
C,0.3903,49.11,0
C,0.123,0.049965,0
C,0.123,25.745,0
Si,0.5023,40.748,0
C,1.02,97.761,1
Si,1.605,47.869,1
C,0.6512,147.96,1
C,1.339,27.692,0
C,0.8593,39.369,1
Si,1.056,175.02,1
C,1.33,42.594,0
C,1.426,30.165,0
C,1.206,45.742,0
C,0.2181,245.33,1
Si,0.432,68.718,0
C,0.3982,147.04,0
C,1.237,0.36874,0
C,1.237,32.702,0
C,0.4263,73.512,1
Si,0.6109,63.718,1
C,0.7936,27.539,1
Si,0.2181,52.396,1
C,0.3163,40.985,0
Si,0.4277,45.901,1
C,1.283,29.86,1
Si,1.479,63.444,1
C,0.2181,113.27,1
C,0.381,77.718,0
C,0.4293,72.718,1
C,0.6818,35.672,0
C,1.023,67.474,1
Si,1.329,51.606,1
Si,0.2181,367.67,1
