# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Si,0.2181,114.08,1
Si,0.4347,0,0
Si,0.4347,108.52,0
Si,0.3862,53.557,1
C,0.4315,40.726,1
C,0.6447,72.107,1
Si,0.2181,55.256,1
C,0.3677,44.128,0
C,0.4127,46.675,1
C,0.6859,0,0
C,0.6859,33.114,0
Si,0.4345,73.752,1
Si,0.4347,94.142,1
C,0.5298,31.073,0
Si,0.6137,66.608,1
C,0.9272,25.331,0
Si,0.2181,81.369,1
Si,0.4206,0,0
Si,0.4206,76.558,0
Si,0.6312,48.359,0
C,0.4009,63.805,1
C,0.5728,26.121,1
C,0.2181,26.438,1
Si,0.8375,93.61,1
Si,0.9742,42.926,0
Si,0.2181,68.081,1
C,0.4133,48.482,0
C,0.6105,44.387,0
C,0.2181,131.62,1
C,0.4323,109.88,0
C,0.2181,71.608,1
Si,0.7928,49.633,1
Si,0.2181,42.751,1
C,0.3724,34.315,0
Si,0.4193,125.65,1
Si,1.077,41.518,0
Si,0.4333,41.003,1
Si,0.6154,77.883,1
C,0.7255,34.601,0
Si,0.2181,53.55,1
C,0.2526,43.968,0
C,0.4114,33.198,0
C,0.4148,59.818,1
Si,0.2181,84.883,1
Si,0.2768,63.785,0
C,0.4334,119.34,1
C,0.8314,78.639,0
C,1.438,43.237,0
Si,0.2181,45.277,1
Si,0.6067,53.595,1
C,0.4345,28.493,1
C,0.6517,45.84,1
Si,0.8565,52.143,1
Si,0.4297,128.9,1
C,0.9059,55.26,0
Si,0.5382,41.295,0
Si,0.2181,113.53,1
C,0.3616,62.998,0
C,0.3523,0,0
C,0.3523,27.371,0
C,0.1342,0,0
C,0.1342,25.339,0
Si,0.2181,173.43,1
C,0.3667,40.03,0
Si,0.3852,72.384,0
Si,0.2181,154.29,1
C,0.7786,34.551,0
C,0.3883,87.146,0
C,0.9522,35.651,0
C,0.4234,29.55,1
Si,0.8198,94.071,1
Si,0.9662,47.623,0
C,0.4228,46.879,1
Si,0.619,48.107,1
Si,0.8197,42.764,1
C,0.9659,25.929,0
Si,0.4321,47.031,1
C,0.4968,26.865,0
Si,0.6402,101.53,1
Si,1.025,40.7,0
Si,0.2181,112.51,1
C,0.2723,30.224,0
Si,1.06,49.144,1
Si,1.068,41.809,1
C,1.128,28.846,0
C,0.2181,112.33,1
C,0.3924,96.383,0
Si,0.2181,132.27,1
Si,0.2932,121.12,0
C,0.7096,42.638,0
C,0.3787,34.54,1
Si,0.6272,75.395,1
C,0.4317,86.618,1
C,1.268,25.272,0
C,0.2181,43.62,1
C,0.8478,57.552,1
C,0.4235,53.79,1
C,0.2181,55.177,1
Si,1.033,55.501,1
C,0.4216,44.13,1
C,0.4495,0,0
C,0.4495,29.219,0
Si,0.7806,40.927,1
Si,0.2181,134.06,1
C,0.4818,40.385,0
Si,0.3108,52.842,0
Si,0.2181,69.182,1
Si,0.3408,52.435,0
Si,0.4083,51.641,1
C,0.2181,66.591,1
Si,0.3863,48.147,0
Si,0.4273,68.175,1
Si,0.2181,67.996,1
C,0.4035,25.53,0
Si,0.573,60.778,1
C,0.2181,116.43,1
Si,0.4027,82.455,0
Si,0.4277,41.422,1
Si,0.2181,166.55,1
Si,0.9768,86.734,0
C,1.159,32.114,0
C,0.4308,110.48,1
Si,0.6174,44.168,0
C,0.8215,29.601,1
Si,0.2181,40.832,1
C,0.336,27.015,0
Si,0.8095,42.161,1
Si,0.8344,43.875,1
C,1.04,26.303,0
Si,0.9819,59.314,1
C,1.111,46.035,0
C,0.6281,66.144,1
C,0.2181,29.678,1
C,0.4337,63.509,1
Si,1.03,56.116,1
Si,0.2181,59.587,1
Si,0.2445,0,0
Si,0.2445,58.897,0
Si,0.4072,0,0
Si,0.4072,55.322,0
Si,0.4107,105.71,1
Si,0.4342,107.42,1
C,0.6084,25.693,0
C,0.6056,26.492,1
C,0.4343,35.342,1
Si,0.8385,70.048,1
Si,0.6292,124.1,1
Si,0.8026,117.55,0
Si,0.8369,79.094,1
Si,1.224,42.053,0
C,0.6218,26.856,1
C,0.7787,68.051,1
C,0.2181,47.599,1
C,0.384,0.072546,0
C,0.384,45.527,0
Si,0.429,119.3,1
C,0.7554,66.673,0
C,0.2181,59.805,1
C,0.3189,44.283,0
C,0.4589,29.334,0
C,0.4279,43.469,1
Si,0.7656,79.83,1
C,1.021,25.235,0
C,0.2181,42.129,1
C,0.4298,38.275,1
C,0.2181,72.539,1
Si,0.403,58.838,0
Si,0.4265,95.345,1
C,0.2181,97.778,1
Si,0.4151,65.074,0
Si,0.4261,48.4,1
C,0.2181,69.206,1
C,0.328,32.065,0
C,0.6429,31.38,1
C,0.2181,67.239,1
Si,0.2181,102.53,1
Si,0.2764,40.053,0
C,0.3941,26.771,1
Si,0.2181,41.862,1
C,0.3891,27.913,0
C,0.4185,50.168,1
C,0.791,46.99,1
C,0.2181,48.457,1
C,0.3717,0,0
C,0.3717,44.221,0
C,0.4288,62.373,1
Si,0.2181,67.334,1
Si,0.2945,48.6,0
C,0.4016,32.359,0
Si,0.4073,48.451,1
Si,0.6355,49.797,1
Si,0.786,53.62,1
Si,0.6377,49.218,1
Si,0.2181,60.383,1
Si,0.6023,65.353,1
C,0.774,50.678,0
C,0.2181,33.01,1
C,0.3433,0.39217,0
C,0.3433,30.618,0
Si,0.6425,54.214,1
Si,0.4258,71.27,1
C,0.6034,32.809,0
C,0.4259,102.5,1
C,1.199,33.535,0
Si,1.267,78.579,1
Si,0.6375,43.618,1
C,0.7974,39.93,1
