# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Si,0.4343,174.74,1
Si,0.4344,0,0
Si,0.4344,43.749,0
Si,0.5018,116.68,0
C,0.5895,41.676,0
C,0.825,95.124,1
C,1.009,28.793,0
Si,0.2181,131.28,1
C,0.5356,27.06,0
Si,0.5995,59.648,1
C,0.7765,32.733,0
Si,0.739,104.71,1
C,0.9962,43.981,0
C,1.233,29.128,0
Si,0.2181,192.56,1
C,0.7268,50.703,0
C,1.227,33.934,0
C,0.5246,106.36,0
C,0.8203,34.173,0
Si,0.6831,53.197,0
C,0.5838,99.49,1
C,0.7435,91.23,0
C,1.262,63.823,0
C,0.2181,54.995,1
Si,1.081,144.87,1
Si,1.274,94.543,0
C,1.482,41.977,0
C,1.263,55.982,1
Si,1.393,40.603,0
C,0.6472,65.226,1
C,1.053,68.439,1
Si,1.439,119.69,1
Si,1.563,85.942,0
Si,0.4345,58.162,1
C,0.4808,37.839,0
Si,0.6456,95.69,1
C,0.7367,36.533,0
C,0.8479,46.688,1
Si,1.046,134.27,1
C,1.752,27.89,0
C,1.388,52.082,0
C,1.229,33.578,0
C,0.4334,136.51,1
C,0.9458,36.837,0
C,0.9434,27.109,0
C,0.6464,48.643,1
C,0.8608,84.676,1
C,1.033,34.446,0
Si,1.063,62.866,1
C,1.195,31.125,0
Si,0.433,117.06,1
C,0.8566,40.623,0
C,0.6782,43.343,0
C,0.6228,105.44,1
C,0.7969,50.658,1
C,0.2181,87.48,1
C,0.3732,38.263,0
C,0.8322,165.12,1
Si,1.233,42.784,0
C,0.4342,56.104,1
C,0.591,36.688,0
Si,0.6401,147.95,1
Si,0.9203,49.353,0
Si,0.9127,67.169,0
C,1.041,31.13,0
C,0.8107,84.134,1
C,0.2181,93.852,1
Si,0.3852,76.579,0
C,0.4291,164.84,1
Si,0.8499,50.538,0
C,0.9822,33.154,0
C,0.6198,63.203,1
C,0.7759,31.373,1
C,0.637,204.33,1
C,1.646,34.721,0
C,1.016,46.104,1
Si,0.6447,166.86,1
Si,1.257,85.403,0
Si,0.9412,53.999,1
C,1.004,26.107,1
Si,0.839,136.32,1
C,0.9446,31.457,0
C,0.9845,34.688,0
C,0.9456,41.078,0
Si,1.223,82.699,1
C,0.2181,280.02,1
C,1.609,59.127,0
C,0.6154,77.745,0
Si,0.4359,40.39,0
Si,0.642,79.298,1
Si,0.2181,250.12,1
Si,0.4118,190.48,0
C,1.136,39.429,0
Si,0.5704,79.014,1
C,0.7283,40.603,0
Si,1.26,212.71,1
C,1.964,100.51,0
Si,1.426,49.7,0
C,1.51,34.632,0
Si,0.2181,43.589,1
C,0.8064,125.35,1
C,1.122,29.937,1
C,1.438,43.176,1
C,0.2181,44.379,1
C,0.4327,164.5,1
C,1.269,38.399,0
C,1.48,37.609,1
Si,0.2181,110.6,1
C,0.5212,30.833,0
C,0.3692,44.27,0
Si,0.4131,80.008,1
Si,0.5905,0,0
Si,0.5905,65.136,0
C,0.5865,56.397,1
Si,0.717,117.75,1
Si,0.8039,81.238,0
C,0.9153,40.47,0
C,0.2181,143.71,1
C,0.3431,0,0
C,0.3431,140.83,0
C,1.994,27.993,0
