# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
O,0.2186,99.901,1
Ti,0.3295,73.29,0
Ti,0.5468,59.19,0
O,0.8889,21.943,0
Ti,0.4239,121.54,1
O,0.8003,23.838,0
O,0.4691,61.184,1
O,0.2186,103.16,1
O,0.852,81.911,1
O,0.9921,32.113,0
Ti,1.061,47.964,1
O,1.362,25.668,0
O,0.2186,24.403,1
Ti,0.4338,98.854,1
O,0.6302,53.587,0
O,0.7514,21.236,1
O,0.9529,40.32,1
O,1.167,0,0
O,1.167,35.983,0
O,1.317,38.909,1
O,1.494,25.51,0
O,0.2186,46.641,1
O,0.2739,39.577,0
O,0.4002,21.974,0
Ti,0.4306,61.277,1
O,0.579,38.115,1
Ti,0.7383,51.192,1
O,0.2186,83.512,1
O,0.3417,23.764,0
O,0.3049,0.45847,0
O,0.3049,23.305,0
O,0.137,0,0
O,0.137,21.814,0
O,0.3633,44.88,0
O,0.5994,30.027,1
O,0.7643,23.624,0
Ti,0.7449,133.39,1
O,0.5711,20.338,0
O,0.6621,99.552,0
Ti,0.3416,56.004,0
O,0.1229,38.511,0
Ti,0.2186,199.82,1
O,0.2064,33.742,0
O,0.2012,82.048,0
O,0.1348,0,0
O,0.1348,77.841,0
O,0.2376,55.111,0
O,0.2519,53.397,0
O,0.3273,38.758,0
O,0.4342,34.149,0
O,0.32,32.775,1
O,0.4989,25.539,1
O,0.5384,0,0
O,0.5384,22.898,0
O,0.2186,75.443,1
O,0.391,42.152,0
O,0.5386,0,0
O,0.5386,41.13,0
O,0.4265,41.195,1
O,0.3893,0,0
O,0.3893,22.443,0
O,0.1802,0,0
O,0.1802,21.087,0
O,0.6278,36.956,1
O,0.7218,21.848,0
Ti,0.8451,91.006,1
O,0.8441,54.213,0
O,0.8422,45.004,0
O,0.922,20.372,0
O,0.8374,19.486,0
O,0.2186,234.74,1
O,0.4344,227.58,0
O,1.435,164.05,0
O,2.496,32.939,0
O,2.64,20.615,0
Ti,1.643,51.544,0
O,0.4306,45.419,1
Ti,0.2186,68.542,1
