# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
C,0.2181,57.76,1
C,0.5333,27.837,0
Si,0.6281,154.3,1
Si,0.2181,81.117,1
Si,0.6011,47.429,1
Si,0.7598,55.919,1
Si,0.8737,45.492,0
Si,0.974,62.043,1
Si,0.2181,46.427,1
C,0.4234,41.901,1
Si,0.8534,102.13,1
Si,1.947,42.006,1
C,2.073,28.201,0
Si,0.8473,47.637,1
C,1.041,35.773,0
C,1.236,44.853,1
Si,0.6379,66.192,1
Si,0.8137,48.165,1
C,0.9026,33.943,0
C,1.38,38.612,1
Si,0.2181,203.56,1
Si,0.6273,105.4,0
C,0.4308,27.634,0
Si,0.5572,41.376,1
C,0.2181,39.544,1
C,0.4319,43.192,1
C,0.5288,25.599,0
Si,0.6418,63.382,1
C,0.7267,43.682,0
C,1.07,105.99,1
C,1.284,39.989,0
C,1.418,30.942,0
Si,0.2181,239.18,1
Si,1.031,45.812,0
C,0.3146,37.595,0
Si,0.2181,133.78,1
Si,0.1433,53.06,0
Si,0.6594,77.462,1
C,0.7182,26.75,0
C,0.867,66.123,1
Si,1.497,44.911,1
Si,1.653,43.761,1
C,0.6513,86.21,1
Si,0.4336,155.92,1
C,1.112,63.025,0
C,1.306,26.917,0
C,0.6172,43.952,1
Si,0.6314,105.07,1
C,0.7562,28.931,1
C,0.2181,43.912,1
C,0.6494,154.14,1
Si,0.8673,106.49,0
Si,1.278,41.625,0
C,0.8666,90.447,1
C,1.475,31.116,0
Si,1.075,112.71,1
Si,1.385,44.781,0
Si,1.497,41.316,0
Si,0.2181,97.774,1
C,0.3722,69.789,0
C,0.5598,61.847,0
C,0.623,30.437,1
Si,1.05,66.322,1
Si,1.213,49.653,0
Si,0.435,90.608,1
C,0.6041,28.133,0
C,0.6358,121.33,1
Si,0.8352,53.814,0
Si,0.8201,45.591,1
C,0.8512,29.167,1
C,1.232,72.08,1
Si,1.66,55.652,1
C,0.4338,52.111,1
Si,0.6506,81.788,1
Si,1.292,42.21,1
C,0.2181,50.543,1
C,0.3036,28.397,0
C,0.4308,42.6,1
C,1.187,74.317,1
C,2.156,28.027,0
C,0.8609,101.24,1
C,1.452,28.187,1
Si,0.2181,41.95,1
C,0.6125,32.915,1
C,0.9557,81.211,1
C,1.137,31.428,1
C,1.277,27.009,1
C,0.2181,73.262,1
Si,0.3773,44.974,0
Si,0.8179,45.201,1
Si,0.43,73.419,1
C,0.6352,29.38,0
C,0.7383,69.563,1
Si,0.8531,78.416,1
Si,0.8914,0.35648,0
Si,0.8914,67.854,0
C,0.4344,46.638,1
Si,1.172,90.585,1
C,1.292,26.456,0
Si,0.2181,62.951,1
C,0.3836,34.882,0
Si,0.4196,109.24,1
Si,0.6464,65.214,0
Si,1.116,46.764,1
Si,0.6318,55.243,1
Si,0.9019,72.189,1
C,1.024,33.203,0
Si,0.2181,287.42,1
Si,0.7647,115.57,0
Si,0.9167,46.311,0
C,1.203,25.189,0
C,0.4123,67.22,0
C,0.4351,195.83,1
Si,0.6519,46.788,0
C,0.6342,26.385,1
Si,1.027,80.465,1
C,1.202,36.719,0
C,0.4333,157.96,1
C,0.9916,36.998,0
Si,0.6153,57.622,0
C,0.9005,28.322,0
Si,0.6426,89.18,1
C,0.774,61.29,0
Si,0.946,46.752,0
C,1.154,31.942,0
C,1.348,0,0
C,1.348,26.177,0
Si,0.2181,269.75,1
Si,0.3942,60.534,0
Si,0.3625,186.71,0
C,0.5161,88.966,0
C,0.6337,31.124,1
Si,0.8132,77.36,1
Si,1.015,0.15207,0
Si,1.015,50.366,0
C,0.9486,25.775,1
Si,0.2181,43.529,1
C,0.2346,26.143,0
Si,0.8501,80.06,1
C,1.017,43.939,1
C,0.6296,69.222,1
Si,0.7431,53.696,0
Si,0.8279,52.684,1
Si,0.9595,50.406,1
C,1.241,26.323,0
Si,0.2181,143.12,1
C,0.3785,81.196,0
C,0.7877,81.264,1
Si,0.2181,117.09,1
Si,0.2696,68.494,0
Si,0.4045,48.458,1
C,0.5452,32.792,1
C,0.6455,55.692,1
C,0.7494,0.77939,0
C,0.7494,39.493,0
C,0.8616,48.801,1
Si,1.242,62.989,1
Si,0.2181,115.26,1
Si,0.7403,50.074,0
C,0.6021,36.649,0
C,0.6044,50.236,1
Si,0.2181,69.153,1
Si,0.3508,0,0
Si,0.3508,68.24,0
C,0.565,28.361,0
Si,0.4179,185.85,1
Si,0.5658,142.11,0
Si,0.8787,49.992,0
C,0.7347,28.642,0
Si,0.6464,51.853,1
C,0.7723,36.62,0
Si,0.2181,94.925,1
Si,0.3784,56.353,0
Si,0.5858,54.225,1
C,0.9528,28.999,1
Si,1.142,48.201,1
C,1.026,71.901,1
C,1.257,48.769,0
C,0.2181,123.61,1
C,0.3478,58.643,0
C,0.6451,62.553,1
Si,1.175,91.432,1
Si,1.269,45.683,0
C,0.6303,33.573,1
Si,0.8407,138.75,1
Si,0.9953,90.94,0
Si,1.148,72.743,0
C,1.325,28.195,0
C,0.2181,125.16,1
C,0.392,100.26,0
Si,0.4262,53.187,1
C,0.9866,28.94,1
Si,0.2181,46.046,1
C,0.4235,57.259,1
C,0.537,34.255,0
C,0.6577,28.053,0
Si,0.6406,69.559,1
Si,0.8249,54.027,1
C,0.435,41.408,1
Si,0.6511,109.99,1
C,1.188,41.476,0
C,1.007,37.976,0
Si,0.9632,40.465,1
C,0.4346,56.498,1
Si,0.8581,51.376,1
Si,1.059,92.66,1
Si,1.313,0,0
Si,1.313,58.448,0
Si,1.732,40.944,0
C,0.6508,25.107,1
C,0.8688,85.194,1
C,1.075,44.331,1
C,1.225,0.12467,0
C,1.225,42.206,0
Si,0.4351,48.643,1
C,0.8618,61.248,1
C,1.278,42.935,0
C,1.061,73.954,1
Si,1.256,58.49,0
C,0.2181,54.024,1
C,0.8453,77.987,1
C,1.144,53.925,0
C,1.313,28.834,0
Si,0.2181,163.78,1
C,0.9893,33.016,0
C,1.166,25.116,0
C,0.8236,59.009,0
C,0.2181,33.794,1
Si,0.866,59.404,1
C,1.048,61.924,1
C,1.187,26.521,1
Si,0.2181,166.14,1
Si,0.2878,113.94,0
Si,0.2899,42.163,0
C,0.331,25.491,0
Si,1.293,47.942,1
C,0.2181,53.78,1
Si,1.152,44.502,1
Si,1.192,0,0
Si,1.192,44.184,0
Si,0.2181,168.54,1
C,0.6559,48.199,0
Si,0.4048,68.882,0
C,0.3875,29.648,1
Si,0.2181,53.75,1
Si,0.4213,48.345,1
C,0.9655,31.167,1
C,0.8363,138.59,1
Si,0.4349,117.31,1
Si,0.7392,42.022,0
Si,0.6153,43.892,1
Si,0.9895,70.98,1
Si,0.4336,80.762,1
Si,0.8106,70.903,1
Si,0.8976,0,0
Si,0.8976,66.204,0
Si,1.079,54.033,0
Si,1.009,63.837,1
Si,1.151,52.32,0
C,0.2181,54.116,1
C,0.8647,30.494,1
Si,1.482,75.48,1
C,0.8277,104.81,1
C,0.9996,47.204,1
C,1.154,27.175,0
C,0.2181,88.263,1
C,0.3919,38.429,0
C,0.5187,27.53,0
Si,0.6148,121.31,1
Si,0.9521,76.259,0
C,1.166,51.667,0
C,1.361,32.925,0
Si,0.7453,42.168,0
Si,0.814,49.538,1
C,0.2181,88.861,1
C,0.8571,52.452,1
C,1.068,45.282,1
C,0.6479,63.802,1
C,0.4353,29.247,1
C,1.266,80.38,1
C,0.2181,40.129,1
C,0.3009,0,0
C,0.3009,36.81,0
C,0.4318,109.77,1
C,0.6653,53.249,0
C,0.7748,26.953,0
C,0.6007,33.076,0
Si,0.4341,236.23,1
C,0.9064,76.593,0
C,1.123,47.164,0
Si,0.7889,108.79,0
Si,1.097,46.85,0
C,0.4347,28.392,1
Si,0.6492,44.777,1
Si,0.8397,184.76,1
Si,1.309,85.883,0
C,1.184,39.99,0
C,0.2181,138.2,1
Si,0.4125,94.292,0
C,0.8117,29.046,0
Si,0.4261,69.96,1
Si,0.5204,40.347,0
Si,0.7696,42.036,1
Si,0.4346,81.515,1
C,0.6169,117.67,1
C,1.62,68.578,0
C,0.6272,59.991,1
C,0.9542,28.665,1
Si,0.6429,79.86,1
C,0.9444,41.339,0
C,0.8161,62.57,1
C,1.163,31.238,1
C,0.4346,28.392,1
Si,1.083,85.809,1
C,1.256,43.748,1
Si,1.444,60.607,1
C,0.2181,27.274,1
C,0.6418,52.071,1
C,0.8309,86.359,1
C,1.008,34.212,1
Si,0.6532,121.33,1
Si,0.7126,70.525,0
Si,0.997,49.13,1
Si,0.4344,57.538,1
Si,0.6144,44.527,0
C,0.7968,25.308,0
Si,1.026,91.36,1
C,1.131,42.63,0
Si,0.4299,53.802,1
C,0.4987,26.96,0
Si,0.6446,44.929,1
C,0.2181,190.66,1
Si,0.4237,148.18,0
Si,0.6339,53.573,0
C,0.7619,36.234,0
Si,0.4322,55.018,1
Si,0.4347,41.145,1
C,0.6429,146.68,1
C,1.584,57.507,0
Si,1.511,49.496,1
Si,1.892,40.69,1
C,0.2181,46.142,1
Si,0.4314,174.43,1
C,0.6676,41.138,0
C,0.5314,61.592,0
Si,0.2181,115.35,1
Si,0.3565,47.292,0
Si,0.5756,50.384,1
Si,0.9982,56.241,1
C,0.4346,90.763,1
C,0.8652,31.561,1
C,0.2181,74.434,1
Si,0.429,44.197,1
Si,0.6218,83.285,1
C,0.8647,43.18,0
C,1.078,27.545,0
Si,0.4351,71.018,1
Si,1.295,43.011,1
Si,0.2181,256.83,1
Si,1.402,57.339,0
Si,1.195,49.3,0
C,1.406,32.97,0
Si,0.3912,42.294,0
C,1.294,57.641,1
C,1.508,63.262,1
C,0.6491,98.052,1
C,1.16,32.706,0
Si,1.185,45.861,1
Si,0.6455,194.04,1
