# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
O,0.4185,21.146,1
Ti,0.7041,81.529,1
O,0.9282,21.04,0
O,0.8337,43.421,0
O,0.4325,45.034,1
O,0.5345,30.951,0
Ti,0.6402,74.919,1
Ti,0.7032,45.499,0
O,0.7771,25.754,0
Ti,0.2186,149.95,1
O,0.5023,30.339,0
O,0.3773,27.902,0
Ti,0.2186,77.215,1
O,0.5804,19.685,1
Ti,0.7758,41.399,1
O,0.9793,58.563,1
O,1.179,20.224,0
O,0.2186,21.438,1
O,0.4324,19.783,1
Ti,0.8355,73.157,1
O,0.9304,19.608,0
O,0.2186,54.263,1
O,0.3886,34.897,0
O,0.4256,31.273,1
O,0.7814,31.22,1
O,0.2186,25.144,1
O,0.4319,25.666,1
O,0.6504,113.56,1
O,1.386,39.255,0
O,1.22,20.556,0
Ti,0.4327,93.953,1
O,0.4571,57.366,0
O,0.6249,40.829,0
O,0.6789,19.581,1
O,0.7104,21.668,1
Ti,0.5531,48.924,1
O,1.289,23.12,1
O,0.4332,45.359,1
O,0.5564,30.62,0
Ti,1.017,68.579,1
O,1.081,21.356,0
O,0.2186,136.39,1
O,1.321,35.263,0
O,0.5983,24.823,1
O,0.2186,48.977,1
O,0.3542,0,0
O,0.3542,45.26,0
Ti,0.6126,46.283,1
O,0.6915,19.343,0
O,0.8149,20.13,1
O,0.4142,86.812,1
O,0.7444,54.126,0
O,0.5802,21.639,1
O,0.4351,88.609,1
O,0.646,54.184,1
O,0.8465,23.116,0
Ti,0.2186,71.419,1
Ti,0.4179,49.114,0
O,0.5938,25.67,0
Ti,0.3843,107.75,1
O,0.3993,57.964,0
O,0.3382,0.14636,0
O,0.3382,57.818,0
O,0.1231,51.704,0
O,0.4151,25.778,0
O,0.425,49.802,1
O,0.9653,21.168,1
Ti,0.2186,52.28,1
O,0.3857,20.79,0
O,0.3999,32.088,1
O,0.4518,21.939,0
Ti,0.8139,53.349,1
O,0.8114,27.421,0
O,0.2186,20.858,1
O,0.4327,121.86,1
O,1.113,22.789,0
O,0.9365,31.307,0
O,0.2186,143.45,1
O,0.8876,30.957,0
O,0.6335,25.762,1
O,0.2186,63.476,1
O,0.357,55.29,0
O,0.7541,0.57625,0
O,0.7541,19.902,0
O,0.5503,28.169,0
O,0.424,48.653,1
Ti,0.2186,117.74,1
Ti,0.2186,105.86,1
Ti,0.1968,59.988,0
O,0.172,38.796,0
O,0.1302,0,0
O,0.1302,22.742,0
O,0.2531,19.84,0
O,0.545,26.424,1
O,0.4344,66.39,1
O,0.9712,25.112,0
O,0.8295,55.443,1
O,1.534,24.333,0
O,0.9913,24.251,1
O,0.2186,100.47,1
O,1.043,27.44,0
O,0.6357,40.461,1
O,0.831,19.18,0
Ti,0.6373,70.894,1
O,0.7544,28.373,0
