# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Ti,0.435,364.19,1
O,0.01415,58.654,0
O,0.1008,21.223,0
Ti,0.1815,61.761,0
O,0.167,30.424,0
O,0.2063,19.708,0
Ti,0.2889,53.006,0
O,0.2526,28.512,0
O,0.4362,133.72,1
O,0.7797,31.714,0
O,0.6351,26.119,0
O,0.6323,26.878,1
Ti,0.8261,65.275,1
O,1.194,23.512,0
O,1.272,62.894,1
O,0.2186,192.22,1
O,1.046,23.525,0
O,0.6131,37.396,0
O,0.5048,29.073,0
O,0.3209,48.673,0
O,0.4199,36.243,1
Ti,0.6361,43.931,1
Ti,1.013,42.661,1
O,1.081,23.884,1
Ti,0.2186,77.61,1
Ti,0.7183,45.542,0
O,0.925,19.897,0
Ti,0.5966,217.42,1
O,0.9679,29.393,0
O,0.8892,38.11,0
O,0.7539,21.605,0
O,0.6528,83.191,0
Ti,0.703,57.515,1
O,0.2186,23.729,1
O,0.4347,28.778,1
O,0.5503,0,0
O,0.5503,25.579,0
Ti,0.8587,178.23,1
O,1.039,131.24,0
Ti,1.254,96.948,0
O,1.473,48.543,0
O,1.651,29.866,0
Ti,1.072,51.906,1
O,0.2186,23.653,1
O,0.4347,108.74,1
O,0.6223,48.872,0
Ti,1.199,99.656,1
Ti,1.41,43.692,0
O,1.282,31.548,0
Ti,0.2186,152.78,1
O,0.9148,25.101,0
O,0.7565,51.431,0
O,1.134,32.389,0
O,0.4037,29.473,0
O,0.3779,50.854,1
O,0.5903,35.486,0
Ti,0.4884,99.564,1
Ti,0.6161,43.66,0
O,0.5398,26.119,0
Ti,0.2186,212.84,1
O,0.4993,30.973,0
O,0.2796,26.318,0
O,0.2141,83.719,0
O,0.2094,46.404,0
O,0.06757,0.96688,0
O,0.06757,28.253,0
Ti,0.3513,168.1,1
O,0.1905,82.911,0
O,0.03462,19.054,0
Ti,0.6491,78.133,1
Ti,0.701,63.271,0
Ti,0.797,57.969,0
O,0.9771,26.778,0
O,1.159,111.45,1
O,1.548,25.033,0
Ti,1.356,41.897,0
O,1.321,48.201,1
Ti,1.505,44.366,1
O,0.2186,34.955,1
O,0.2518,25.875,0
O,0.4335,32.651,1
Ti,0.8693,276.41,1
Ti,0.5643,41.157,0
O,0.6347,61.777,0
O,0.5565,45.32,0
O,0.2562,0,0
O,0.2562,32.155,0
O,0.0376,30.61,0
O,0.691,22.136,0
O,0.7926,31.827,0
O,0.8548,48.538,0
O,0.8505,22.608,0
O,0.8616,48.359,0
O,0.8574,22.202,0
Ti,0.2186,109.55,1
Ti,0.3754,77.27,0
O,0.5378,35.849,0
Ti,0.398,252.49,1
Ti,0.4645,45.017,0
O,0.5375,33.731,0
O,0.3911,37.311,0
O,0.4097,0,0
O,0.4097,37.137,0
O,0.3678,100.51,0
O,0.3533,73.873,0
O,0.3148,21.295,1
O,0.2186,59.484,1
O,0.3153,0,0
O,0.3153,35.873,0
O,0.202,32.023,0
O,0.02021,0,0
O,0.02021,30.98,0
O,0.4309,26.149,1
Ti,0.635,78.513,1
O,0.8613,21.41,0
O,0.7219,28.844,0
O,0.8045,142.36,1
O,1.89,20.688,0
O,1.098,22.389,0
O,1.739,19.276,1
O,0.2186,38.785,1
O,0.332,23.296,0
O,0.6512,223.23,1
O,1.122,0,0
O,1.122,100.63,0
O,0.6108,24.455,0
O,1.142,20.155,0
Ti,0.9586,66.924,0
O,1.059,19.64,0
O,1.075,54.555,1
O,1.452,29.653,0
O,0.4361,44.162,1
O,0.7029,0.85625,0
O,0.7029,27.19,0
O,0.8974,22.35,0
O,0.8545,19.766,1
O,1.056,21.109,1
O,1.433,65.455,1
O,1.503,38.298,0
Ti,1.637,61.703,1
O,1.693,21.065,0
O,1.834,21.305,1
Ti,0.2186,68.371,1
Ti,0.3913,0.05922,0
Ti,0.3913,64.901,0
O,0.589,166.81,1
O,1.568,0.30178,0
O,1.568,36.58,0
O,1,64.421,0
O,1.149,43.096,0
O,1.305,24.636,0
O,0.7875,29.743,0
O,0.9887,21.024,1
O,1.08,66.21,1
O,1.176,48.051,0
O,1.308,40.733,0
Ti,0.2186,79.852,1
Ti,0.6163,0.16912,0
Ti,0.6163,43.563,0
O,0.4094,241.83,1
O,0.4071,0,0
O,0.4071,22.821,0
Ti,0.3855,48.425,0
O,0.188,34.854,0
Ti,0.591,162.5,0
Ti,1.194,65.527,0
O,1.005,28.901,0
O,0.6514,21.181,1
O,0.6368,257.59,1
O,1.973,56.537,0
O,2.005,35.59,0
Ti,1.943,65.827,0
O,2.093,23.871,0
O,2.214,20.763,0
O,0.9856,35.645,0
Ti,1.037,44.75,1
O,1.082,21.524,0
O,0.2186,65.545,1
O,0.2877,29.539,0
O,0.8533,159.93,1
O,1.36,19.517,0
Ti,1.049,76.689,0
O,1.413,20.881,0
O,1.218,20.799,0
Ti,0.4362,322.59,1
O,0.6397,25.877,0
O,0.7628,22.423,0
O,0.7542,36.596,0
O,0.8014,21.138,0
O,0.6333,41.18,0
Ti,0.611,48.83,0
Ti,0.6501,42.093,0
O,0.7718,20.996,0
O,0.5272,56.704,0
O,0.5762,49.154,0
O,0.4691,32.563,1
O,0.4212,20.632,1
O,0.2186,186.68,1
O,0.4134,143.81,0
O,0.811,109.06,0
O,1.35,49.489,0
O,0.4202,81.71,1
O,0.6159,56.863,1
O,1.231,23.87,0
O,0.7596,45.915,1
Ti,0.2186,127.15,1
O,1.103,24.95,0
O,0.8258,28.571,0
O,0.9663,22.516,0
O,0.4189,23.435,0
O,0.3892,138.69,1
O,0.8161,19.657,0
O,0.7257,29.944,0
O,0.5442,22.037,0
O,0.6825,48.307,1
O,0.887,30.62,1
O,0.2186,45.455,1
O,0.262,25.819,0
O,0.3131,0.72534,0
O,0.3131,22.336,0
O,1.056,46.864,1
O,1.464,99.801,1
O,1.959,42.392,0
O,2.095,27.067,0
O,1.899,44.096,1
Ti,0.4355,59.241,1
O,0.6187,211.86,1
O,1.936,36.483,0
O,2.041,30.126,0
O,1.716,54.551,0
O,0.7856,65.042,1
O,0.9392,51.997,0
O,0.2186,90.583,1
O,0.2747,56.82,0
O,0.3456,51.671,0
Ti,0.8218,94.821,1
O,1.013,28.604,0
O,0.8857,21.9,0
O,1.167,43.864,1
O,1.259,35.938,0
O,1.579,22.896,1
Ti,0.2186,46.381,1
Ti,0.2235,44.821,0
Ti,0.421,190.55,1
O,0.4694,39.378,0
O,0.2879,26.07,0
Ti,0.5801,51.848,0
O,0.4994,58.755,0
O,0.5487,49.561,1
O,1.061,25.313,1
Ti,0.2186,229.53,1
O,0.5289,37.056,0
Ti,0.3802,63.412,0
Ti,0.2438,78.708,0
Ti,0.2336,40.347,0
O,0.3423,113.83,1
O,0.4018,28.042,0
O,0.3874,23.315,0
O,0.2702,3.5953e-05,0
O,0.2702,23.315,0
O,0.05161,0.015602,0
O,0.05161,23.299,0
O,0.4538,48.133,0
O,0.2186,248.19,1
O,0.3732,196.21,0
O,1.141,65.587,0
O,1.482,19.419,0
O,0.7255,48.663,0
Ti,0.4197,56.562,1
O,0.4971,23.452,0
O,0.6845,22.748,1
O,0.2186,48.818,1
O,0.5119,31.522,0
Ti,0.6493,111.83,1
Ti,0.7913,56.843,0
O,1.105,23.66,0
O,0.9251,20.106,0
Ti,1.017,51.917,1
O,1.387,20.753,0
O,1.121,76.1,1
O,1.214,27.188,0
O,0.4364,26.598,1
O,0.6539,95.39,1
O,2.02,0,0
O,2.02,23.788,0
O,0.8628,22.595,1
Ti,1.06,68.491,1
Ti,1.199,55.276,0
O,1.372,19.279,0
Ti,1.623,63.385,1
Ti,1.398,0.6502,0
Ti,1.398,47.195,0
Ti,0.2186,322.64,1
O,1e-05,30.31,0
O,0.05782,25.001,0
O,0.105,196.92,0
O,0.1776,41.513,0
O,0.2642,25.984,1
O,0.2186,69.451,1
O,0.4338,51.842,0
O,0.6455,76.307,1
O,1.069,21.734,0
O,0.8596,68.272,1
O,0.9607,46.29,0
Ti,1.072,39.728,1
O,1.279,24.708,0
O,1.381,42.836,1
O,1.549,24.275,0
O,1.611,0,0
O,1.611,19.722,0
O,0.2186,27.977,1
O,0.6422,66.404,1
O,0.9809,23.088,0
Ti,1.194,90.53,1
O,1.291,64.011,0
Ti,1.409,94.593,1
O,1.634,29.638,0
O,1.537,40.472,0
O,1.659,31.143,0
Ti,1.526,42.63,1
O,0.4358,71.053,1
O,0.6523,19.795,0
O,0.6487,231.83,1
O,1.437,118.38,0
O,1.045,24.521,1
O,0.435,47.573,1
O,0.6488,51.772,1
O,0.7221,29.697,0
O,1.292,34.228,1
O,1.708,57.967,1
O,0.2186,136.89,1
O,0.8309,35.093,0
O,0.404,65.039,0
O,0.8504,57.155,1
O,1.034,22.515,1
O,1.354,23.735,1
O,0.2186,36.398,1
O,0.2967,0.66751,0
O,0.2967,30.548,0
O,0.4332,56.693,1
O,0.6417,35.475,1
O,1.471,60.648,1
Ti,1.655,59.35,1
O,0.2186,83.199,1
O,0.6097,21.149,0
O,1.697,25.393,1
O,2.247,21.842,1
Ti,2.408,54.665,1
O,2.517,20.758,0
O,0.2186,64.317,1
O,0.3608,49.653,0
O,0.4304,73.747,1
O,0.5863,20.716,0
O,0.6392,37.1,1
O,0.8444,94.416,1
O,1.193,45.288,1
Ti,0.2186,124.21,1
Ti,0.2233,85.72,0
Ti,0.3905,85.213,1
O,0.6795,27.643,0
O,0.5578,33.137,0
O,0.4625,43.603,1
O,0.7025,22.52,1
Ti,0.2186,91.535,1
Ti,0.5251,54.004,0
O,0.4039,75.167,1
O,0.552,73.053,1
O,0.9114,49.693,0
O,1.104,23.496,0
O,1.247,0,0
O,1.247,20.238,0
Ti,0.2186,42.888,1
O,0.356,31.801,0
Ti,0.4223,307.2,1
Ti,0.1239,67.319,0
O,0.2959,25.654,0
O,0.2107,0.012728,0
O,0.2107,25.641,0
Ti,0.4461,182.88,0
O,0.6751,47.978,0
O,0.5501,27.758,0
O,0.4747,89.973,0
O,0.2186,243.73,1
O,0.8501,139.67,0
O,1.84,0,0
O,1.84,42.76,0
O,2.192,0.86992,0
O,2.192,21.706,0
O,1.461,52.567,0
O,1.765,23.769,0
O,0.4288,56.241,0
O,0.531,39.5,0
O,0.6586,22.705,0
O,0.6333,53.801,1
O,0.848,56.163,1
O,1.223,0,0
O,1.223,39.637,0
O,1.439,23.329,0
Ti,0.2186,78.652,1
Ti,0.2149,0.89464,0
Ti,0.2149,74.099,0
O,0.2802,35.213,0
Ti,0.4089,194.57,1
O,0.806,61.865,0
O,1.02,55.595,0
O,1.173,0.068195,0
O,1.173,23.073,0
O,0.6241,90.493,0
O,1.158,29.506,0
O,0.497,79.314,1
Ti,0.5776,50.657,0
Ti,0.2186,68.281,1
Ti,0.2104,40.445,0
O,0.4129,69.516,1
O,0.6267,135.88,1
O,1.553,42.056,0
O,0.9903,21.643,0
O,0.8364,84.895,1
O,1.325,19.539,0
O,1.24,37.262,0
Ti,0.2186,50.502,1
O,0.2384,25.164,0
Ti,0.6051,236.2,1
O,0.3472,26.388,0
O,0.2189,22.105,0
O,0.4839,21.124,0
O,0.6294,37.184,0
O,0.642,19.359,0
Ti,0.683,71.26,0
O,0.9741,24.884,0
O,1.153,21.621,0
O,0.6451,131.07,1
O,1.579,22.319,0
O,1.252,58.905,0
